,full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college
1,Kawhi Leonard,97,2,Los Angeles Clippers,F,1991-06-29,2.01,102.1,32742000,USA,2011,1,15,San Diego State
3,Kevin Durant,96,7,Brooklyn Nets,F,1988-09-29,2.08,104.3,37199000,USA,2007,1,2,Texas
4,James Harden,96,13,Houston Rockets,G,1989-08-26,1.96,99.8,38199000,USA,2009,1,3,Arizona State
5,Stephen Curry,95,30,Golden State Warriors,G,1988-03-14,1.91,83.9,40231758,USA,2009,1,7,Davidson
6,Anthony Davis,94,3,Los Angeles Lakers,F-C,1993-03-11,2.08,100.7,27093019,USA,2012,1,1,Kentucky
7,Paul George,93,13,Los Angeles Clippers,F,1990-05-02,2.03,95.3,33005556,USA,2010,1,10,Fresno State
8,Damian Lillard,92,0,Portland Trail Blazers,G,1990-07-15,1.88,88.5,29802321,USA,2012,1,6,Weber State
9,Joel Embiid,91,21,Philadelphia 76ers,C,1994-03-16,2.13,113.4,27504630,Cameroon,2014,1,3,Kansas
10,Kyrie Irving,91,11,Brooklyn Nets,G,1992-03-23,1.88,81.6,31742000,Australia,2011,1,1,Duke
12,Russell Westbrook,90,0,Houston Rockets,G,1988-11-12,1.91,86.2,38506482,USA,2008,1,4,UCLA
13,Klay Thompson,89,11,Golden State Warriors,G,1990-02-08,1.98,93.0,32742000,USA,2011,1,11,Washington State
14,Karl-Anthony Towns,89,32,Minnesota Timberwolves,F-C,1995-11-15,2.11,112.5,27285000,USA,2015,1,1,Kentucky
15,Jimmy Butler,88,22,Miami Heat,G,1989-09-14,2.01,99.8,32742000,USA,2011,1,30,Marquette
17,Blake Griffin,88,23,Detroit Pistons,F,1989-03-16,2.06,114.3,34449964,USA,2009,1,1,Oklahoma
18,Donovan Mitchell,88,45,Utah Jazz,G,1996-09-07,1.85,95.7,3635760,USA,2017,1,13,Louisville
19,Kemba Walker,88,8,Boston Celtics,G,1990-05-08,1.83,78.0,32742000,USA,2011,1,9,UConn
21,LaMarcus Aldridge,87,12,San Antonio Spurs,F-C,1985-07-19,2.11,111.6,26000000,USA,2006,1,2,Texas
22,Bradley Beal,87,3,Washington Wizards,G,1993-06-28,1.91,93.9,27093018,USA,2012,1,3,Florida
23,Mike Conley,87,10,Utah Jazz,G,1987-10-11,1.85,83.9,32511623,USA,2007,1,4,Ohio State
24,DeMar DeRozan,87,10,San Antonio Spurs,G-F,1989-08-07,1.98,99.8,27739975,USA,2009,1,9,USC
25,CJ McCollum,87,3,Portland Trail Blazers,G,1991-09-19,1.91,89.4,27556959,USA,2013,1,10,Lehigh
26,Victor Oladipo,87,4,Indiana Pacers,G,1992-05-04,1.93,96.6,21000000,USA,2013,1,2,Indiana
